pref,vacc,vacc1,vacc2
合計,2339839,2166240,173599
北海道,2060113,1581320,478793
青森県,557707,444935,112772
岩手県,494298,376247,118051
宮城県,924059,699094,224965
秋田県,452893,359302,93591
山形県,528356,428946,99410
福島県,823503,642553,180950
茨城県,1193064,883346,309718
栃木県,699859,504441,195418
群馬県,943749,669992,273757
埼玉県,2621470,1986404,635066
千葉県,2377837,1806213,571624
東京都,5630047,3888416,1741631
神奈川県,3437748,2596362,841386
新潟県,980799,802074,178725
富山県,435317,346860,88457
石川県,504622,392177,112445
福井県,352696,269211,83485
山梨県,310138,250026,60112
長野県,863339,701753,161586
岐阜県,879725,689314,190411
静岡県,1416077,1064928,351149
愛知県,2853253,2100079,753174
三重県,736070,586811,149259
滋賀県,592741,427702,165039
京都府,990351,810304,180047
大阪府,3405726,2656745,748981
兵庫県,2284506,1785364,499142
奈良県,576211,450719,125492
和歌山県,472416,376237,96179
鳥取県,249137,195235,53902
島根県,291370,221226,70144
岡山県,830218,661784,168434
広島県,1164349,856334,308015
山口県,703276,554064,149212
徳島県,321746,263327,58419
香川県,369699,290240,79459
愛媛県,563779,459485,104294
高知県,339421,266089,73332
福岡県,2159922,1605535,554387
佐賀県,376164,309936,66228
長崎県,640122,496324,143798
熊本県,851907,631896,220011
大分県,495145,400554,94591
宮崎県,440620,366891,73729
鹿児島県,664562,537388,127174
沖縄県,512432,357028,155404
